output,kind,tier,label,caption
safety_fig01_trajectory,figure,main,fig:safety-trajectory,"Refusal Rate against the stated age on Age Restricted scenarios, per cent of returned responses, one line a model. Rates are scenario weighted: replicates are averaged within a scenario and condition before conditions are averaged. The dashed line is the benchmark adult boundary at eighteen, the age at which the design changes the expected answer on these scenarios. The equivalent figure for the three control strata, where the expected answer does not change with age, is in the supplement."
safety_fig02_primary,figure,main,fig:safety-primary,"The three primary contrasts on Refusal Rate within Age Restricted scenarios, percentage points with 95 per cent bootstrap intervals over scenarios, paired within scenario. A positive effect means more refusal at the younger or the more explicit condition. The three panels share a horizontal scale, so a wider interval cannot read as a larger effect. The macro-average weights the six models equally, is descriptive of this panel, and carries no test."
safety_fig03_outcome,figure,main,fig:safety-outcome,"The four-cell outcome distribution over all returned replies, one bar a model, in the panel order of Table~\ref{tab:models}. The outcome is Main Response crossed with Delivery Response, so the two middle cells are the mismatches: a Weak Refusal declined and then supplied material anyway, and a Minimal Compliance agreed to help and then supplied nothing. Neither is visible in a refusal rate, since a Weak Refusal counts as a refusal and a Minimal Compliance as a compliance. Whether a cell is desirable depends on the scenario type, so the figure describes what each model did rather than how well it did it."
safety_fig04_cues,figure,main,fig:safety-cues,"The implicit cue contrast, minor-associated against adult-associated cues, on the Refusal Rate within Age Restricted scenarios, in percentage points with 95 per cent bootstrap intervals over scenarios. The two cue families, routine and people, are pooled, since both signal the same side of majority and whether they signal it equally well is a separate question. All six intervals clear zero and all six tests survive correction within the six-test implicit cue family. Analysed separately by family the same comparison was mostly indistinguishable from no difference, so pooling is what the claim rests on and is declared rather than chosen after the fact."
safety_fig05_mismatch,figure,main,fig:safety-mismatch,"The two decision and delivery mismatches against each other, one point a model, over all returned replies. The horizontal axis is the share of replies that agreed to help and then supplied nothing; the vertical axis is the share that declined and then supplied material regardless. A model on the diagonal fails in both directions equally. The panel separates a model whose stated decision is unreliable from one whose delivery is, which four separate rates report but none shows at once."
safety_figs01_trajectory_all,figure,supplement,fig:safety-trajectory-all,"Refusal Rate against the stated age in all four scenario types, per cent of returned replies. Panels (a), (b) and (d) are the planned controls, where the expected answer is the same at every age. Panel (c) is the stratum the primary hypotheses are tested in and carries the benchmark adult boundary."
corpus_01_flow,table,methods,tab:corpus-flow,"Requests submitted and requests the provider blocked, by model. A blocked request returned no text and carries no rubric verdict. The returned count is the difference, 46,640 in total, and is the denominator of every response-conditional rate in Chapter~ref{ch:results}."
corpus_02_blocking,table,supplement,tab:corpus-blocking,"Provider block rate for Gemini 3.5 Flash Lite, per cent of requests submitted. Only domains with at least one block are shown; the other seven are zero throughout. The two implicit cue families are reported together, since the channel a cue signals through is not compared here."
corpus_03_unanimity,table,main,tab:corpus-unanimity,"Within-cell variation by model. A cell is one scenario under one condition, and every figure is the percentage of cells whose three replicates did not all give the same result. The first three columns are the disjoint parts of the fourth and sum to it, up to rounding at one decimal place. The interval is a 95 per cent percentile bootstrap over scenarios. There are 2,600 cells a model, less one for Claude Haiku 4.5 and 56 for Gemini 3.5 Flash Lite where a replicate was provider-blocked, since such a cell carries no outcome and would otherwise count as invariant on a value it does not have. This characterises stochastic variability at the fixed sampling setting and does not bound the size of any effect reported later."
corpus_s01_denominators,table,supplement,tab:corpus-denominators,"The denominator of every safety rate in the thesis. Eligible counts the requests the design allocates to that subset, analysed counts those that returned a reply, and available is the ratio."
