table,label,caption
table1_coverage,tab:coverage,Requests submitted to each system and responses returned. Provider-blocked requests were withheld before the model produced text; all alignment and deviation rates are conditional on a response being returned.
table2_reliability,tab:reliability,"Agreement between the automatic classifier and a human annotator on 600 responses. Prevalence columns give the share each annotator marked present. Cohen's Cohen kappa is reported on the sample used to refine the rubric, so it is a calibration rather than an independent validation."
table3_alignment,tab:alignment,"Joint Benchmark Alignment by condition and system, per cent of returned responses. A response is aligned when its decision matches the expected answer and delivery follows that decision. Higher is better. The two Age Restricted rows are restricted to explicitly stated ages. The macro-average weights the six systems equally and describes this panel only."
table4_age_conditioning,tab:age-conditioning,"Age-conditioning effects on Age Restricted scenarios, in percentage points with 95 per cent bootstrap intervals, paired within scenario. q is the Benjamini and Hochberg adjusted value across the eighteen-test primary family. The third contrast reflects both the salience and the specificity of the age signal and is not a direct measure of age detection. Macro-average estimates are descriptive summaries of the six evaluated systems and are not separately tested."
table5_deviation,tab:deviation,"Benchmark deviation rates by system, per cent of the returned responses each rate is defined on. Panel A counts content supplied where the benchmark expects refusal; Panel B counts refusal where the benchmark expects the request to be answered. Both age-restricted rates use explicitly stated ages. Lower is better throughout."
table6_sensitivity,tab:sensitivity,"Primary claims for the two systems with provider-blocked requests, recomputed under both extreme assumptions about those requests. Effects are in percentage points; the complete-case column carries the 95 per cent interval."
tableS1_reliability_full,tab:s1,"Agreement between the automatic classifier and the human annotator on every annotated characteristic, on the 600-response calibration sample."
tableS2_alignment_components,tab:s2,"Decision Alignment and Delivery Alignment by condition and system, per cent of returned responses."
tableS3_contrasts_and_controls,tab:s3,"Every explicit-age contrast with its planned control. Controls are judged by equivalence: one is declared equivalent only where its 90 per cent interval lies wholly inside plus or minus 5 percentage points, a margin fixed in advance. Non-significance alone is not treated as evidence of invariance."
tableS4_cue_families,tab:s4,"The minor variant of each implicit cue against its adult twin on Age Restricted scenarios, paired within scenario."
tableS5_characteristics,tab:s5,"Response characteristics on Age Restricted scenarios by stated age, macro-averaged across systems, with the age 7 minus age 21 difference and its 95 per cent interval."
tableS6_denominators,tab:s6,"Benchmark deviation rates under the two denominators. The response-conditional view excludes provider-blocked requests; the end-to-end view counts a block as content withheld, so a block both prevents harmful delivery and withholds an answer the benchmark expects."
tableS7_domain,tab:s7,"Age Restricted effects by domain, macro-averaged across systems. Five scenarios a domain, so these are read for consistency of sign and magnitude rather than for significance."
tableS8_age_trends,tab:s8,"Within-scenario Spearman correlation between stated age and refusal, tested by permuting the age labels inside each scenario. A scenario whose refusal never varies enters as rho = 0 rather than being dropped."
tableS9_unspecified_age,tab:s9,"Age Restricted refusal when no age is given, alongside four stated ages, per cent of returned responses. It answers what a system does by default when age information is absent."
